13-10-2019 09:08,b'RT @umesh_dhande: #engineersatjantarmantar #mtechfeeshike live from jantar mantar. Join us soon. https://t.co/VVgfz3ql5z'
,
13-10-2019 07:56,b'RT @AllIndiaEngine1: Thank you @dhruv_rathee for supporting us.\nhttps://t.co/QWTgTU0Sb2\n\n#engineersatjantarmantar #mtechfeeshike https://t.\xe2\x80\xa6'
,
13-10-2019 07:56,b'RT @AllIndiaEngine1: MHRD has decided to impose a 900% hike on M Tech programs across all IITs. Engineering students all around India are c\xe2\x80\xa6'
,
13-10-2019 06:55,b'RT @AllIndiaEngine1: #engineersatjantarmantar #mtechfeeshike\nAll people in and around delhi students should join as soon as possible. https\xe2\x80\xa6'
,
13-10-2019 06:54,b'RT @AllIndiaEngine1: Thank you @dhruv_rathee for supporting us.\nhttps://t.co/QWTgTU0Sb2\n\n#engineersatjantarmantar #mtechfeeshike https://t.\xe2\x80\xa6'
,
13-10-2019 06:54,b'RT @AllIndiaEngine1: Thank you @IndiaToday for the coverage. Hope @HRDMinistry listens to our demands.\n#mtechfeeshike #engineersatjantarman\xe2\x80\xa6'
,
13-10-2019 06:53,b'RT @AllIndiaEngine1: MHRD has decided to impose a 900% hike on M Tech programs across all IITs. Engineering students all around India are c\xe2\x80\xa6'
,
13-10-2019 02:51,b'RT @ManishwarGupta: Ab Raja ka beta hi Raja Banega . @ravishndtv please sir \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f show your views regarding Mtech fees hike . @AskAnshul @iitd\xe2\x80\xa6'
,
13-10-2019 02:51,"b""RT @ManishwarGupta: @DrRPNishank Ab aap innovation ke root me ye Sab karoge to bhul jaye Innovation hoga India me . That's why Indian insti\xe2\x80\xa6"""
,
13-10-2019 02:51,b'RT @Saurabh82834092: Dnt kill the dreams of engineers. Help them grow and they will empower the nation in turn.Dnt force them mentally and\xe2\x80\xa6'
,
13-10-2019 02:51,b'RT @itisshivam: Corporate tax reduced. Fees for higher education increased but still Government is poor friendly!\xf0\x9f\x99\x84\n\n# Great Logic of the Bh\xe2\x80\xa6'
,
13-10-2019 02:51,b'RT @snehal_rasal: What about those who are financially weak?What about those who already took education loan for BTech?\n@narendramodi  @HRD\xe2\x80\xa6'
,
13-10-2019 02:51,b'RT @yoursnothing0: Need more voices against this #mtechfeeshike #nostipendformtech @Vishj05 @rishibagree\n https://t.co/Qh3bIGrWP2'
,
13-10-2019 02:51,b'RT @FrustratedEng16: @PMOIndia  @narendramodi  @HRDMinistry  @DrRPNishank  @ravishndtv @iitdelhi @iitmadras how dare you play such games wi\xe2\x80\xa6'
,
13-10-2019 02:51,"b'RT @dsouzadylan4: MTech fees at IITs to rise by up to 900%\r. The govt is accelerating brain drain, which is already huge problem in India.\xe2\x80\xa6'"
,
